 "Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.850667792E0,2.611717343E-1,4.038504621E0,-2.298851545E0
8.875500792E0,1.577321506E-1,4.758519647E0,-2.252814077E0
8.900338792E0,-5.402195764E-1,5.426383356E0,-2.066595461E0
8.925171792E0,-1.829302586E0,5.998148661E0,-2.164765534E0
8.950009792E0,-2.417540082E0,5.668715361E0,-1.759749371E0
8.974842792E0,-2.150393663E0,4.369536549E0,-6.104803044E-1
8.999680792E0,-1.962476431E0,3.225861513E0,8.264103770E-2
9.024513792E0,-2.064216814E0,1.637540518E0,1.528138236E0
9.049352792E0,-1.827253137E0,-8.794206494E-1,6.653113997E-1
9.074184792E0,-1.205687097E0,-1.629845874E0,6.912625122E-1
9.099023792E0,-1.316208243E-3,-2.334597621E0,-3.891404243E-1
9.123855792E0,1.054200357E-1,-2.946170770E0,-2.418583810E-2
9.148694792E0,-5.378725040E-1,-2.748594230E0,1.832791839E-1
9.173526792E0,-2.867252362E-1,-2.140041460E0,4.043162513E-1
9.198365792E0,3.394610403E0,-6.804446370E0,-8.625461698E-2
9.223197792E0,7.493647739E0,-5.175661765E0,-1.265385414E0
9.248036792E0,-8.993947381E-1,6.338993386E0,1.305158175E0
9.272868792E0,-4.983645051E0,1.013832818E1,-1.025425040E0
9.297707792E0,-2.174112309E0,9.736322744E0,-1.442019274E0
9.322539792E0,1.521402828E0,3.739055843E0,-4.004223565E0
9.347378792E0,4.002755329E0,-1.915162809E0,-1.985316825E0
9.372210792E0,8.870682228E-1,-2.062556790E0,-1.806703098E0
9.397049792E0,-1.792034188E0,1.455418461E0,-1.207527069E0
9.421881792E0,-1.238658961E0,1.377078343E0,-1.576238601E0
9.446720792E0,9.532540262E-1,5.348994872E-1,-7.646674342E-1
9.471552792E0,1.184493864E0,1.726511313E0,-4.272221339E-1
9.496392125E0,9.705968678E-2,1.502557544E0,-2.037911653E0
9.521224125E0,2.671686387E-1,1.200269944E0,-1.220122118E0
9.546063125E0,-5.461568391E-1,7.523697165E-1,-1.689907304E0
9.570895125E0,-7.471314883E-1,-1.762748408E-1,-1.299309790E0
9.595734125E0,1.334890097E-1,-7.931174275E-1,-4.206086406E-1
9.620566125E0,-2.124433780E-1,-2.566858236E-1,-1.230724874E-1
9.645405125E0,-7.689521277E-1,-7.095333070E-2,-5.319714940E-1
9.670237125E0,-2.396873099E-1,-7.117850697E-1,-1.814124969E-1
